#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
1.0,5,5.258991
3.8,11,5.274686
0.5,2,5.274686
3.2,14,5.29354
2.5,12,5.306242
1.5,17,5.306242
3.8,17,5.322005
1.3,6,5.340704
4.6,19,5.361848
0.1,2,5.361848
0.5,2,5.369989
-0.4,6,5.374283
0.8,6,5.377771
1.3,2,5.377771
1.3,2,5.383984
1.3,2,5.383984
-0.6,7,5.393002
-1.0,1,5.393002
1.0,7,5.396858
9.6,26,5.406514
-1.0,1,5.422213
-0.8,4,5.422213
6.0,20,5.438004
-2.0,4,5.438004
-1.0,1,5.438004
-1.0,1,5.438004
-1.1,4,5.438004
-0.2,7,5.453726
-1.0,1,5.453726
0.0,4,5.453726
-0.5,3,5.453726
0.5,2,5.469538
1.8,9,5.469538
-1.0,1,5.469538
2.6,11,5.485243
3.0,9,5.497956
-0.4,4,5.498333
0.5,2,5.498333
4.5,20,5.513241
0.5,2,5.523372
1.5,5,5.527683
2.4,6,5.527683
-1.0,1,5.527683
2.0,12,5.539233
-1.0,1,5.539233
-1.0,3,5.539233
3.4,11,5.555001
1.3,2,5.555001
0.4,4,5.555001
-1.0,1,5.555001
-1.4,15,5.570719
-1.0,1,5.570719
3.4,11,5.590838
-0.6,3,5.59753
-1.0,1,5.59753
0.1,2,5.59753
-1.0,1,5.59753
0.4,6,5.59753
-2.2,3,5.610657
-0.5,5,5.610657
-1.0,1,5.610657
2.2,5,5.610657
-1.0,1,5.610657
1.3,2,5.610657
0.5,2,5.626456
-1.4,7,5.626456
-1.0,1,5.626456
-1.0,1,5.626456
0.0,4,5.626456
1.3,2,5.626456
-1.0,1,5.642203
0.9,10,5.642203
4.4,20,5.658027
0.5,2,5.658027
2.2,5,5.673724
1.7,6,5.674831
0.0,8,5.68186
-0.7,4,5.69069
6.1,20,5.713666
0.7,5,5.713666
1.2,6,5.713666
-1.5,4,5.713666
-1.0,1,5.729375
-0.6,5,5.729375
7.8,33,5.757474
0.4,4,5.757474
1.3,2,5.757474
-1.0,3,5.774507
-1.0,1,5.774507
0.2,3,5.774507
0.2,5,5.774507
1.3,2,5.774507
0.6,5,5.789007
-0.6,5,5.789007
0.6,5,5.789007
-1.0,1,5.789007
0.5,10,5.821251
0.1,2,5.824065
-2.2,5,5.824065
1.2,6,5.829669
-1.0,1,5.829669
-0.9,11,5.845795
